"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3","Q4","Q5","Q13","Q6","Q7","Q8","Q9","Q10","Q11","Q12","id","sub"
"11",23,"3/6/21 10:54","3/6/21 10:56","IP Address","130.253.29.6",100,83,"True","3/6/21 10:56","R_tRMWA3tPo03CXoR",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","White","Yes","Molecular Biology","No","No","Somewhat tired","Well","",59755,40740
"12",24,"3/6/21 14:57","3/6/21 15:00","IP Address","130.253.28.0",100,218,"True","3/6/21 15:00","R_1F8LtPsro12Ga1p",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Psychology","No","No","Somewhat tired","Well","",60160,990455
"13",25,"3/6/21 16:52","3/6/21 16:56","IP Address","130.253.29.9",100,246,"True","3/6/21 16:56","R_1pnFyH9NEuLUEWa",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","Asian","Yes","Undeclared","No","No","Somewhat tired","Well","",59818,766613
"14",27,"3/6/21 20:15","3/6/21 20:17","IP Address","130.253.27.5",100,70,"True","3/6/21 20:17","R_2xVF9aVbwGfaiSE",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study",19,"Female","Asian","No","Psychology","No","No","Slightly tired","Well","",60166,751556
"15",28,"3/6/21 20:41","3/6/21 20:42","IP Address","63.158.251.146",100,51,"True","3/6/21 20:42","R_3nPqwBwflxCa3aj",NA,NA,NA,NA,39.73179626,-104.9669037,"anonymous","EN","",19,"Female","white","Yes","Hospitality","No","No","Slightly tired","Well","no ",59680,821750
"16",29,"3/7/21 8:14","3/7/21 8:16","IP Address","130.253.28.8",100,85,"True","3/7/21 8:16","R_prqODKXxGni0E2l",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","White","Yes","Marketing","No","No","Somewhat tired","Poor","no",60112,994428
"17",30,"3/7/21 11:17","3/7/21 11:18","IP Address","130.253.27.2",100,65,"True","3/7/21 11:18","R_3Jk2jtyHFpyXton",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",18,"Female","white","Yes","Marketing","No","No","Somewhat tired","Well","No",59794,785481
"18",31,"3/7/21 12:23","3/7/21 12:25","IP Address","130.253.29.3",100,122,"True","3/7/21 12:25","R_3013iMDu6T5W4T3",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study",21,"Male","White ","Yes","Political Science ","No","No","Not at all tired","Well","N/A ",60100,338218
"19",32,"3/7/21 13:05","3/7/21 13:07","IP Address","137.83.95.255",100,94,"True","3/7/21 13:07","R_aaDL83wfpwVM3iV",NA,NA,NA,NA,39.73880005,-104.9868011,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","caucasian","No","geography","No","No","Slightly tired","Well","",60193,506498
"20",34,"3/7/21 15:21","3/7/21 15:24","IP Address","174.16.144.37",100,165,"True","3/7/21 15:24","R_3nVGvjvE1mV968p",NA,NA,NA,NA,39.73880005,-104.9868011,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Female","white and asian","Yes","Criminology and Psychology","No","No","Slightly tired","Well","",57679,413167
"21",35,"3/7/21 16:01","3/7/21 16:03","IP Address","130.253.27.2",100,90,"True","3/7/21 16:03","R_yD3oekUKSvwv9Qd",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","white","Yes","theatre","No","No","Somewhat tired","Poor","",59872,533262
"22",36,"3/7/21 16:47","3/7/21 16:48","IP Address","130.253.29.7",100,48,"True","3/7/21 16:48","R_2RPr7mhOKH59SyE",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",19,"Male","Caucasian","Yes","Biology","No","No","Slightly tired","Well","No",59677,72972
"23",37,"3/7/21 17:44","3/7/21 17:48","IP Address","151.203.66.232",100,223,"True","3/7/21 17:48","R_8CCCT1Qh9vYFNKN",NA,NA,NA,NA,42.15960693,-70.82170105,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White ","Yes","Chemistry ","No","No","Not at all tired","Very well","No",60196,596010
"24",38,"3/7/21 21:31","3/7/21 21:32","IP Address","71.196.134.192",100,66,"True","3/7/21 21:32","R_UrQx9LmnJwLQEIp",NA,NA,NA,NA,39.68760681,-104.9103012,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,"Female","white","Yes","international relations","No","No","Very tired","Poor","",59776,915681
"25",39,"3/7/21 21:47","3/7/21 21:50","IP Address","43.250.156.49",100,163,"True","3/7/21 21:50","R_2EntGxUmiNUvZNe",NA,NA,NA,NA,22.29159546,70.79319763,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","Asian","No","Undeclared (leaning towards International Studies)","No","No","Not at all tired","Well","",59821,928916
"26",40,"3/7/21 21:53","3/7/21 21:54","IP Address","130.253.29.1",100,72,"True","3/7/21 21:54","R_1oiKgDc2zB4xBTC",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","White","Yes","undecided","No","No","Somewhat tired","Very poor","I have been sick for 7 weeks.",59707,564498
"27",41,"3/7/21 23:10","3/7/21 23:13","IP Address","71.229.166.171",100,159,"True","3/7/21 23:13","R_25Nm0KUHtGHqXlr",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","White","Yes","Marketing","No","No","Very tired","Well","",60076,332725
"28",42,"3/8/21 12:06","3/8/21 12:07","IP Address","130.253.27.5",100,69,"True","3/8/21 12:07","R_1qgEHzDNk8u6QU6",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Latina","Yes","psychology","No","No","Slightly tired","Well","none",60163,292155
"29",44,"3/8/21 14:25","3/8/21 14:26","IP Address","70.187.133.123",100,98,"True","3/8/21 14:27","R_ex0hATeHqDVvg1X",NA,NA,NA,NA,33.73890686,-117.7480011,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","white","Yes","engineering","No","No","Slightly tired","Well","",59866,657922
"30",45,"3/8/21 17:06","3/8/21 17:08","IP Address","73.153.180.30",100,88,"True","3/8/21 17:08","R_2w6MJFeKkSXpHck",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","White","Yes","Finance","No","No","Slightly tired","Well","no",60082,845818
"31",46,"3/10/21 0:29","3/10/21 0:30","IP Address","24.9.164.111",100,82,"True","3/10/21 0:30","R_cHBsyzhDbubJwd3",NA,NA,NA,NA,39.65620422,-104.7865982,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",20,"Female","Black","Yes","Psychology ","No","No","Somewhat tired","Well","",57655,567334
"32",49,"3/10/21 12:03","3/10/21 15:09","IP Address","130.253.27.2",100,11133,"True","3/10/21 15:09","R_d4GS5QS9pnhUvIt",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",19,"Male","White","Yes","Psychology","No","No","Slightly tired","Well","N/A",60037,207857
"33",50,"3/10/21 15:31","3/10/21 15:34","IP Address","162.242.94.65",100,165,"True","3/10/21 15:34","R_31GIqgkuzkjFweD",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Caucasian ","Yes","psychology and biology","No","No","Slightly tired","Well","",57826,563389
"34",51,"3/10/21 18:14","3/10/21 18:14","IP Address","184.96.73.6",100,35,"True","3/10/21 18:14","R_1d4gyTpzRnyycMo",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",20,"Male","hispanic","Yes","psych","No","Yes","Slightly tired","Well","",60139,225307
"35",52,"3/10/21 19:32","3/10/21 19:38","IP Address","130.253.27.8",100,350,"True","3/10/21 19:38","R_1C2PeEWAslpNkvy",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,"Female","African-American","Yes","Crim and Psych","No","No","Not at all tired","Well","no",53983,800074
"36",53,"3/10/21 20:18","3/10/21 20:19","IP Address","130.253.27.3",100,36,"True","3/10/21 20:19","R_25vJyIyskqk7OF7",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White","Yes","Undeclared","No","No","Somewhat tired","Poor","",60010,52295
"37",54,"3/10/21 20:53","3/10/21 20:54","IP Address","130.253.29.4",100,74,"True","3/10/21 20:54","R_ByUCiZCiTLZuJ45",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","",18,"Female","White","Yes","Psychology","No","No","Not at all tired","Well","",59962,147002
"38",55,"3/10/21 22:55","3/10/21 22:56","IP Address","130.253.26.130",100,100,"True","3/10/21 22:57","R_3QLxXkSs8LznVCf",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","White","Yes","International Studies","No","No","Somewhat tired","Poor","",60016,655812
"39",56,"3/11/21 10:49","3/11/21 10:50","IP Address","130.253.27.10",100,60,"True","3/11/21 10:50","R_33easHagkcgkK6m",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White ","Yes","Psychology ","No","No","Somewhat tired","Well","",59923,912272
"40",57,"3/11/21 12:05","3/11/21 12:07","IP Address","130.253.27.1",100,69,"True","3/11/21 12:07","R_2ElT5kNgW2oBoeW",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Business Analytics ","No","No","Not at all tired","Well","no",60205,27336
"41",58,"3/11/21 14:38","3/11/21 14:40","IP Address","130.253.29.4",100,104,"True","3/11/21 14:40","R_3m4wmWfZ9QUxz47",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",NA,"Female","White","Yes","Computer Science","No","No","Somewhat tired","Well","",59965,818363
"42",59,"3/11/21 15:25","3/11/21 15:27","IP Address","130.253.27.11",100,174,"True","3/11/21 15:27","R_1qh3LBAslBR3fvp",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","White American","Yes","Biology","No","No","Slightly tired","Well","",59809,36510
"43",60,"3/11/21 15:32","3/11/21 15:34","IP Address","130.253.27.8",100,101,"True","3/11/21 15:34","R_3KJhroL1ZVqTira",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","white","Yes","environmental science","No","No","Slightly tired","Very well","no",59686,849451
"44",62,"3/11/21 16:02","3/11/21 16:04","IP Address","184.96.63.157",100,144,"True","3/11/21 16:04","R_0GS9xwa97uohxTz",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Caucasian","Yes","Psychology","No","No","Somewhat tired","Well","",58051,896572
"45",63,"3/11/21 16:23","3/11/21 16:24","IP Address","212.102.41.37",100,87,"True","3/11/21 16:24","R_3eh8uRrWnu1sFnM",NA,NA,NA,NA,32.790802,-96.83360291,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White","Yes","Mathematics","No","No","Slightly tired","Well","",60121,129525
"46",64,"3/11/21 16:25","3/11/21 16:26","IP Address","67.174.103.146",100,77,"True","3/11/21 16:26","R_25Acm5xhAiQoMhG",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.,Please check this box if you are participating for monetary compensation.",19,"Female","White","Yes","Criminology","No","No","Not at all tired","Well","",59851,225555
"47",65,"3/11/21 16:48","3/11/21 16:53","IP Address","130.253.27.4",100,248,"True","3/11/21 16:53","R_2Qtbo5Q6qhMoJVp",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Psychology","No","No","Somewhat tired","Poor","hunger",60088,609023
"48",67,"3/11/21 18:17","3/11/21 18:19","IP Address","130.253.29.11",100,115,"True","3/11/21 18:19","R_1j956p1trFqb3xs",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Non-binary / third gender","Jewish American","Yes","Business and Psychology","No","No","Slightly tired","Well","N/A",60214,738062
"49",68,"3/11/21 20:04","3/11/21 20:05","IP Address","130.253.27.14",100,58,"True","3/11/21 20:05","R_331ZTxaApxekXQS",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","Caucasian","Yes","History","No","No","Slightly tired","Well","N/A",60190,580556
"50",69,"3/11/21 21:09","3/11/21 21:10","IP Address","130.253.27.11",100,87,"True","3/11/21 21:10","R_W7mwZZQuNbOL1kd",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Male","White","Yes","Math","No","No","Slightly tired","Well","",56770,567177
